Optical constants n+ik of olivine (z-orientation, E||z) of natural single crystal olivine
from the University of Freiberg 

A(1/cm)	n.z	k.z
112.304	2.532814	0.008953
113.525	2.534383	0.009098
114.746	2.535977	0.009245
115.966	2.537597	0.009394
117.187	2.539243	0.009546
118.408	2.540915	0.009699
119.629	2.542613	0.009855
120.849	2.544339	0.010013
122.07	2.546092	0.010173
123.291	2.547873	0.010336
124.511	2.549681	0.010501
125.732	2.551519	0.010669
126.953	2.553386	0.010839
128.173	2.555282	0.011012
129.394	2.557208	0.011188
130.615	2.559165	0.011367
131.836	2.561153	0.011549
133.056	2.563172	0.011734
134.277	2.565223	0.011921
135.498	2.567307	0.012113
136.718	2.569424	0.012307
137.939	2.571574	0.012505
139.16	2.573759	0.012706
140.38	2.575979	0.012911
141.601	2.578233	0.013119
142.822	2.580524	0.013331
144.043	2.582852	0.013548
145.263	2.585217	0.013768
146.484	2.58762	0.013992
147.705	2.590062	0.014221
148.925	2.592544	0.014454
150.146	2.595065	0.014692
151.367	2.597628	0.014934
152.587	2.600233	0.015182
153.808	2.60288	0.015434
155.029	2.605571	0.015692
156.25	2.608306	0.015955
157.47	2.611087	0.016223
158.691	2.613914	0.016497
159.912	2.616788	0.016777
161.132	2.619711	0.017064
162.353	2.622683	0.017356
163.574	2.625705	0.017655
164.794	2.628779	0.017961
166.015	2.631906	0.018274
167.236	2.635086	0.018594
168.457	2.638322	0.018922
169.677	2.641613	0.019257
170.898	2.644963	0.019601
172.119	2.648372	0.019953
173.339	2.651841	0.020313
174.56	2.655373	0.020683
175.781	2.658968	0.021062
177.001	2.662628	0.021451
178.222	2.666355	0.02185
179.443	2.67015	0.022259
180.664	2.674016	0.02268
181.884	2.677954	0.023112
183.105	2.681966	0.023555
184.326	2.686055	0.024012
185.546	2.690221	0.02448
186.767	2.694468	0.024963
187.988	2.698798	0.025459
189.208	2.703213	0.02597
190.429	2.707715	0.026496
191.65	2.712308	0.027039
192.871	2.716993	0.027597
194.091	2.721774	0.028174
195.312	2.726654	0.028768
196.533	2.731636	0.029382
197.753	2.736722	0.030015
198.974	2.741917	0.03067
200.195	2.747224	0.031346
201.415	2.752646	0.032046
202.636	2.758188	0.03277
203.857	2.763854	0.033519
205.078	2.769647	0.034295
206.298	2.775573	0.035099
207.519	2.781636	0.035933
208.74	2.787841	0.036799
209.96	2.794193	0.037697
211.181	2.800698	0.03863
212.402	2.807363	0.0396
213.622	2.814192	0.040609
214.843	2.821193	0.04166
216.064	2.828372	0.042754
217.285	2.835737	0.043894
218.505	2.843295	0.045084
219.726	2.851055	0.046326
220.947	2.859026	0.047623
222.167	2.867216	0.04898
223.388	2.875636	0.0504
224.609	2.884295	0.051887
225.829	2.893206	0.053446
227.05	2.902379	0.055082
228.271	2.911829	0.056801
229.492	2.921567	0.058608
230.712	2.931609	0.06051
231.933	2.941971	0.062514
233.154	2.952668	0.064628
234.374	2.963719	0.066861
235.595	2.975143	0.069222
236.816	2.986962	0.071722
238.036	2.999196	0.074372
239.257	3.011871	0.077185
240.478	3.025012	0.080175
241.699	3.038648	0.083359
242.919	3.052809	0.086754
244.14	3.067528	0.09038
245.361	3.082842	0.094259
246.581	3.098791	0.098417
247.802	3.115416	0.102882
249.023	3.132766	0.107685
250.243	3.150892	0.112864
251.464	3.169849	0.118458
252.685	3.189702	0.124517
253.906	3.210516	0.131092
255.126	3.232368	0.138249
256.347	3.255342	0.146056
257.568	3.279527	0.154599
258.788	3.305029	0.163975
260.009	3.331958	0.174297
261.23	3.36044	0.185699
262.45	3.390612	0.198339
263.671	3.422631	0.212404
264.892	3.456668	0.22812
266.113	3.492909	0.245754
267.333	3.531565	0.265634
268.554	3.572861	0.288153
269.775	3.617047	0.313799
270.995	3.664386	0.343169
272.216	3.704667	0.395535
273.437	3.746172	0.452775
274.657	3.793262	0.515475
275.878	3.8445	0.586481
277.099	3.894079	0.670234
278.32	3.958441	0.762187
279.54	4.005974	0.877206
280.761	4.07086	1.009131
281.982	4.119001	1.166429
283.202	4.158687	1.355595
284.423	4.195403	1.578281
285.644	4.15786	1.843235
286.864	4.098659	2.152882
288.085	3.904513	2.444772
289.306	3.641534	2.715284
290.527	3.315368	2.908197
291.747	2.92364	2.986047
292.968	2.578418	3.002988
294.189	2.254979	2.885948
295.409	2.010214	2.77055
296.63	1.809754	2.626552
297.851	1.642988	2.481346
299.071	1.50694	2.364641
300.292	1.359064	2.209193
301.513	1.246376	2.072165
302.734	1.150626	1.897921
303.954	1.083545	1.729886
305.175	1.051037	1.568922
306.396	1.037156	1.395923
307.616	1.054623	1.248268
308.837	1.082843	1.096812
310.058	1.136045	0.967789
311.278	1.199415	0.850511
312.499	1.275204	0.749802
313.72	1.360482	0.67404
314.941	1.433615	0.613834
316.161	1.512163	0.567228
317.382	1.578485	0.528669
318.603	1.64786	0.497195
319.823	1.713286	0.473399
321.044	1.770187	0.45585
322.265	1.83699	0.441366
323.485	1.879998	0.436523
324.706	1.93724	0.4281
325.927	1.982854	0.42731
327.148	2.026625	0.428155
328.368	2.076887	0.426937
329.589	2.107623	0.43824
330.81	2.16005	0.441419
332.03	2.185136	0.458062
333.251	2.218713	0.465642
334.472	2.25216	0.472801
335.692	2.276349	0.488911
336.913	2.321661	0.495825
338.134	2.330573	0.522897
339.355	2.361786	0.533522
340.575	2.378197	0.55109
341.796	2.393573	0.568321
343.017	2.420133	0.577
344.237	2.419657	0.597404
345.458	2.458838	0.603345
346.679	2.462449	0.626366
347.899	2.481032	0.639114
349.12	2.500066	0.650822
350.341	2.505139	0.672026
351.562	2.543442	0.679261
352.782	2.537663	0.710277
354.003	2.56562	0.727702
355.224	2.57094	0.754964
356.444	2.573902	0.783363
357.665	2.59233	0.803988
358.886	2.566819	0.842265
360.106	2.584253	0.858407
361.327	2.55549	0.886277
362.548	2.540968	0.900504
363.769	2.524821	0.903256
364.989	2.492809	0.901592
366.21	2.511647	0.881744
367.431	2.488267	0.882986
368.651	2.502845	0.870201
369.872	2.500547	0.861053
371.093	2.502594	0.849167
372.313	2.529025	0.829948
373.534	2.520962	0.824025
374.755	2.572664	0.799813
375.976	2.589213	0.79918
377.196	2.630035	0.795033
378.417	2.668787	0.798572
379.638	2.682495	0.815004
380.858	2.735307	0.803696
382.079	2.748119	0.816474
383.3	2.810821	0.818122
384.52	2.846559	0.834487
385.741	2.887471	0.850489
386.962	2.960076	0.858233
388.183	2.981358	0.90053
389.403	3.081952	0.917556
390.624	3.113205	0.973937
391.845	3.185396	1.014834
393.065	3.257877	1.068368
394.286	3.294581	1.155043
395.507	3.394796	1.20112
396.727	3.426457	1.303454
397.948	3.541427	1.420852
399.169	3.573181	1.572423
400.39	3.589535	1.741491
401.61	3.636136	1.906552
402.831	3.524731	2.111141
404.052	3.497234	2.28139
405.272	3.326869	2.377849
406.493	3.244413	2.439638
407.714	3.218133	2.480655
408.934	3.188704	2.543961
410.155	3.313309	2.71554
411.376	3.197275	2.955173
412.597	3.088673	3.284209
413.817	2.795823	3.498559
415.038	2.41208	3.624536
416.259	2.091737	3.670952
417.479	1.739072	3.504622
418.7	1.553587	3.441132
419.921	1.371979	3.274112
421.141	1.231518	3.15737
422.362	1.118889	3.053886
423.583	1.004457	2.904169
424.804	0.92069	2.842093
426.024	0.83628	2.680153
427.245	0.776389	2.592237
428.466	0.72351	2.479891
429.686	0.676587	2.366896
430.907	0.640175	2.290731
432.128	0.603757	2.161332
433.348	0.577352	2.100338
434.569	0.551372	1.993116
435.79	0.531201	1.906698
437.011	0.514632	1.8251
438.231	0.498976	1.721735
439.452	0.488907	1.65525
440.673	0.479784	1.545458
441.893	0.47839	1.464516
443.114	0.478723	1.370076
444.335	0.483652	1.269078
445.555	0.496445	1.176728
446.776	0.517366	1.056238
447.997	0.557717	0.958229
449.218	0.609605	0.842321
450.438	0.687532	0.735083
451.659	0.787197	0.64393
452.88	0.901734	0.570366
454.1	1.027743	0.533284
455.321	1.132799	0.514123
456.542	1.240107	0.504068
457.762	1.341482	0.500952
458.983	1.447669	0.508857
460.204	1.558151	0.533664
461.425	1.642475	0.578111
462.645	1.743421	0.62443
463.866	1.816882	0.688276
465.087	1.899476	0.765621
466.307	1.962209	0.853983
467.528	1.994911	0.952385
468.749	2.070052	1.050379
469.969	2.05752	1.199039
471.19	2.038755	1.362989
472.411	1.925058	1.487569
473.632	1.772271	1.561935
474.852	1.650868	1.574538
476.073	1.502418	1.52604
477.294	1.43644	1.46676
478.514	1.371308	1.361992
479.735	1.363373	1.256485
480.956	1.398208	1.161884
482.176	1.45143	1.077372
483.397	1.558133	1.032188
484.618	1.638675	1.010776
485.839	1.764119	1.026026
487.059	1.855723	1.072641
488.28	1.940639	1.140057
489.501	2.035827	1.222946
490.721	2.063031	1.328883
491.942	2.148462	1.454916
493.163	2.139785	1.592284
494.383	2.141192	1.754213
495.604	2.102307	1.904669
496.825	1.988886	2.036064
498.046	1.945525	2.190885
499.266	1.75261	2.25483
500.487	1.633435	2.345628
501.708	1.483903	2.36996
502.928	1.329987	2.377604
504.149	1.220079	2.403553
505.37	1.061112	2.332879
506.59	0.973525	2.349602
507.811	0.857212	2.278461
509.032	0.758568	2.235856
510.253	0.675471	2.187822
511.473	0.588356	2.092723
512.694	0.529154	2.0664
513.915	0.472421	1.950823
515.135	0.434774	1.904264
516.356	0.401636	1.833376
517.577	0.372022	1.762734
518.797	0.350005	1.726945
520.018	0.326438	1.636916
521.239	0.310395	1.61745
522.46	0.293576	1.548352
523.68	0.280796	1.503587
524.901	0.27075	1.463692
526.122	0.260525	1.401526
527.342	0.252417	1.386389
528.563	0.243769	1.3182
529.784	0.237918	1.292228
531.004	0.232896	1.248794
532.225	0.228527	1.205316
533.446	0.224758	1.183818
534.667	0.220629	1.123807
535.887	0.218733	1.112581
537.108	0.21504	1.066228
538.329	0.21203	1.036287
539.549	0.209679	1.007556
540.77	0.208001	0.960947
541.991	0.20828	0.949529
543.211	0.206646	0.898726
544.432	0.20593	0.879599
545.653	0.204174	0.845733
546.874	0.202125	0.809975
548.094	0.200645	0.789277
549.315	0.200288	0.736413
550.536	0.20296	0.722489
551.756	0.204523	0.680419
552.977	0.207008	0.652056
554.198	0.208862	0.624778
555.418	0.210307	0.581344
556.639	0.213648	0.564892
557.86	0.217205	0.514681
559.081	0.221404	0.490593
560.301	0.230142	0.470671
561.522	0.242965	0.44793
562.743	0.258383	0.437314
563.963	0.274457	0.406185
565.184	0.292982	0.39618
566.405	0.313727	0.368385
567.625	0.339896	0.347302
568.846	0.369391	0.326958
570.067	0.403464	0.30451
571.288	0.44081	0.291533
572.508	0.481118	0.277023
573.729	0.522432	0.270804
574.95	0.555756	0.247844
576.17	0.588328	0.228062
577.391	0.619842	0.210974
578.612	0.65014	0.196136
579.832	0.679167	0.183171
581.053	0.70693	0.171763
582.274	0.733473	0.161658
583.495	0.758853	0.152649
584.715	0.783138	0.144568
585.936	0.806393	0.13728
587.157	0.828694	0.130672
588.377	0.850099	0.124654
589.598	0.870669	0.119149
590.819	0.89046	0.114093
592.039	0.909524	0.109435
593.26	0.927909	0.105128
594.481	0.945656	0.101134
595.702	0.962806	0.097421
596.922	0.979394	0.09396
598.143	0.995457	0.090725
599.364	1.011023	0.087697
600.584	1.026122	0.084855
601.805	1.04078	0.082183
603.026	1.055021	0.079668
604.246	1.068868	0.077295
605.467	1.082341	0.075054
606.688	1.095459	0.072933
607.909	1.10824	0.070925
609.129	1.120702	0.06902
610.35	1.13286	0.067211
611.571	1.144728	0.065491
612.791	1.156321	0.063855
614.012	1.16765	0.062296
615.233	1.178728	0.060809
616.453	1.189566	0.059391
617.674	1.200174	0.058036
618.895	1.210564	0.056741
620.116	1.220744	0.055502
621.336	1.230722	0.054316
622.557	1.240508	0.05318
623.778	1.25011	0.05209
624.998	1.259534	0.051046
626.219	1.268788	0.050043
627.44	1.27788	0.04908
628.66	1.286813	0.048156
629.881	1.295596	0.047267
631.102	1.304235	0.046412
632.323	1.312734	0.045589
633.543	1.321099	0.044797
634.764	1.329336	0.044035
635.985	1.337448	0.043301
637.205	1.345441	0.042594
638.426	1.353318	0.041912
639.647	1.361085	0.041254
640.867	1.368745	0.04062
642.088	1.376302	0.040009
643.309	1.38376	0.039418
644.53	1.391123	0.038849
645.75	1.398394	0.038299
646.971	1.405576	0.037768
648.192	1.412672	0.037256
649.412	1.419686	0.036761
650.633	1.42662	0.036282
651.854	1.433478	0.035821
653.074	1.440263	0.035375
654.295	1.446976	0.034944
655.516	1.45362	0.034527
656.737	1.460199	0.034125
657.957	1.466714	0.033737
659.178	1.473168	0.033361
660.399	1.479563	0.032999
661.619	1.485901	0.032648
662.84	1.492185	0.03231
664.061	1.498416	0.031984
665.281	1.504598	0.031668
666.502	1.51073	0.031364
667.723	1.516817	0.031071
668.944	1.522859	0.030787
670.164	1.528857	0.030514
671.385	1.534815	0.030251
672.606	1.540735	0.029997
673.826	1.546616	0.029753
675.047	1.552462	0.029518
676.268	1.558274	0.029291
677.488	1.564054	0.029074
678.709	1.569803	0.028865
679.93	1.575522	0.028664
681.151	1.581214	0.028471
682.371	1.586879	0.028286
683.592	1.59252	0.02811
684.813	1.598137	0.027941
686.033	1.603733	0.027779
687.254	1.609308	0.027625
688.475	1.614864	0.027478
689.695	1.620403	0.027339
690.916	1.625926	0.027206
692.137	1.631432	0.027081
693.358	1.636926	0.026962
694.578	1.642408	0.02685
695.799	1.647878	0.026745
697.02	1.65334	0.026647
698.24	1.658792	0.026555
699.461	1.664238	0.02647
700.682	1.669679	0.026391
701.902	1.675114	0.026319
703.123	1.680547	0.026253
704.344	1.685978	0.026193
705.565	1.691408	0.02614
706.785	1.696839	0.026093
708.006	1.702273	0.026053
709.227	1.707709	0.026019
710.447	1.713151	0.02599
711.668	1.718598	0.025969
712.889	1.724052	0.025953
714.109	1.729515	0.025944
715.33	1.734987	0.025941
716.551	1.740471	0.025944
717.772	1.745968	0.025954
718.992	1.751478	0.02597
720.213	1.757004	0.025992
721.434	1.762546	0.026021
722.654	1.768106	0.026057
723.875	1.773685	0.026098
725.096	1.779286	0.026147
726.316	1.784908	0.026202
727.537	1.790554	0.026264
728.758	1.796226	0.026332
729.979	1.801924	0.026408
731.199	1.807651	0.02649
732.42	1.813407	0.02658
733.641	1.819194	0.026677
734.861	1.825015	0.026781
736.082	1.83087	0.026892
737.303	1.836762	0.027011
738.523	1.842692	0.027138
739.744	1.848661	0.027273
740.965	1.854672	0.027415
742.186	1.860727	0.027566
743.406	1.866827	0.027725
744.627	1.872974	0.027893
745.848	1.87917	0.028069
747.068	1.885417	0.028254
748.289	1.891718	0.028448
749.51	1.898075	0.028652
750.73	1.904488	0.028865
751.951	1.910962	0.029088
753.172	1.917498	0.029321
754.393	1.924098	0.029565
755.613	1.930766	0.029819
756.834	1.937503	0.030084
758.055	1.944312	0.030361
759.275	1.951196	0.030649
760.496	1.958158	0.03095
761.717	1.9652	0.031262
762.937	1.972325	0.031588
764.158	1.979538	0.031927
765.379	1.986839	0.03228
766.6	1.994233	0.032646
767.82	2.001725	0.033028
769.041	2.009316	0.033425
770.262	2.01701	0.033837
771.482	2.024812	0.034266
772.703	2.032726	0.034712
773.924	2.040755	0.035176
775.144	2.048904	0.035658
776.365	2.057176	0.036159
777.586	2.065577	0.03668
778.807	2.074112	0.037222
780.027	2.082787	0.037785
781.248	2.091604	0.038371
782.469	2.100571	0.03898
783.689	2.109693	0.039614
784.91	2.118976	0.040274
786.131	2.128426	0.04096
787.351	2.13805	0.041675
788.572	2.147854	0.042419
789.793	2.157847	0.043194
791.014	2.168034	0.044001
792.234	2.178425	0.044842
793.455	2.189028	0.045719
794.676	2.19985	0.046633
795.896	2.210902	0.047587
797.117	2.222191	0.048583
798.338	2.233731	0.049622
799.558	2.24553	0.050708
800.779	2.2576	0.051842
802	2.269953	0.053028
803.221	2.282602	0.054269
804.441	2.295559	0.055567
805.662	2.30884	0.056927
806.883	2.322457	0.058352
808.103	2.336428	0.059846
809.324	2.350771	0.061414
810.545	2.365501	0.063059
811.765	2.380639	0.064788
812.986	2.396205	0.066606
814.207	2.41222	0.06852
815.428	2.428707	0.070534
816.648	2.445691	0.072657
817.869	2.463197	0.074897
819.09	2.481257	0.077263
820.31	2.499898	0.079763
821.531	2.519154	0.082408
822.752	2.53906	0.08521
823.972	2.559653	0.088182
825.193	2.580975	0.091336
826.414	2.60307	0.094689
827.635	2.625986	0.098258
828.855	2.64977	0.102061
830.076	2.674485	0.106121
831.297	2.70019	0.11046
832.517	2.726952	0.115107
833.738	2.754843	0.12009
834.959	2.783945	0.125443
836.179	2.814343	0.131206
837.4	2.846136	0.137421
838.621	2.879428	0.144138
839.842	2.914339	0.151414
841.062	2.951	0.159314
842.283	2.989555	0.167914
843.504	3.030165	0.177301
844.724	3.073012	0.187576
845.945	3.118297	0.198857
847.166	3.166248	0.211285
848.386	3.217126	0.225025
849.607	3.271209	0.240269
850.828	3.328841	0.257259
852.049	3.390394	0.276275
853.269	3.456297	0.297662
854.49	3.527044	0.321842
855.711	3.603201	0.349338
856.931	3.680708	0.405111
858.152	3.779042	0.453585
859.373	3.849632	0.533573
860.593	3.95383	0.604265
861.814	4.067136	0.686486
863.035	4.148791	0.824033
864.256	4.399938	0.887613
865.476	4.434423	1.152755
866.697	4.74586	1.348125
867.918	4.783168	1.699947
869.138	4.831676	2.16724
870.359	4.970144	2.604856
871.58	4.387414	3.265353
872.8	4.407859	3.851048
874.021	3.682315	4.184009
875.242	3.176538	4.522252
876.463	2.783988	4.563822
877.683	2.15129	4.347967
878.904	1.996498	4.453725
880.125	1.560896	4.057304
881.345	1.386122	4.009513
882.566	1.199519	3.810315
883.787	1.013132	3.593953
885.007	0.935678	3.556236
886.228	0.773738	3.232385
887.449	0.73994	3.255257
888.67	0.65555	3.047166
889.89	0.601874	2.951158
891.111	0.563582	2.877752
892.332	0.504607	2.695364
893.552	0.494273	2.720993
894.773	0.447223	2.525034
895.994	0.432117	2.507618
897.214	0.40821	2.417835
898.435	0.384021	2.324525
899.656	0.374838	2.31997
900.877	0.343644	2.16548
902.097	0.339747	2.195811
903.318	0.319126	2.092285
904.539	0.306252	2.053075
905.759	0.295823	2.02103
906.98	0.278279	1.92374
908.201	0.274255	1.953059
909.421	0.255977	1.83536
910.642	0.249578	1.832337
911.863	0.240099	1.777991
913.084	0.230999	1.721505
914.304	0.227403	1.723568
915.525	0.214653	1.621817
916.746	0.2115	1.648565
917.966	0.201299	1.577895
919.187	0.194459	1.553031
920.408	0.189145	1.531911
921.628	0.181287	1.463365
922.849	0.177968	1.488471
924.07	0.16802	1.401797
925.291	0.163805	1.401238
926.511	0.15845	1.361085
927.732	0.152965	1.319043
928.953	0.149604	1.320606
930.173	0.143089	1.24071
931.394	0.140824	1.260684
932.615	0.13609	1.20439
933.835	0.132942	1.184332
935.056	0.130468	1.166973
936.277	0.12719	1.111569
937.498	0.126105	1.130123
938.718	0.122344	1.060727
939.939	0.120485	1.060566
941.16	0.117762	1.027862
942.38	0.114834	0.993122
943.601	0.112713	0.99334
944.822	0.109453	0.926114
946.042	0.109005	0.940408
947.263	0.107909	0.892502
948.484	0.107353	0.874731
949.705	0.106591	0.858779
950.925	0.105641	0.809868
952.146	0.106334	0.821891
953.367	0.107184	0.759249
954.587	0.112	0.754407
955.808	0.118536	0.72465
957.029	0.127042	0.697867
958.249	0.133458	0.705675
959.47	0.131556	0.658266
960.691	0.126904	0.678101
961.912	0.120316	0.637631
963.132	0.115974	0.621391
964.353	0.113346	0.606223
965.574	0.110893	0.561259
966.794	0.110199	0.571703
968.015	0.109271	0.514425
969.236	0.109924	0.510413
970.456	0.109764	0.481386
971.677	0.110114	0.44951
972.898	0.110805	0.445627
974.119	0.111733	0.387156
975.339	0.113722	0.394861
976.56	0.114849	0.35132
977.781	0.117449	0.330424
979.001	0.119269	0.341166
980.222	0.123103	0.327933
981.443	0.126706	0.346224
982.663	0.130486	0.330148
983.884	0.137512	0.330594
985.105	0.142354	0.323305
986.326	0.155216	0.288709
987.546	0.164542	0.255194
988.767	0.183276	0.224214
989.988	0.202049	0.197058
991.208	0.225654	0.174278
992.429	0.256339	0.155626
993.65	0.28678	0.140435
994.87	0.3221	0.127981
996.091	0.363991	0.117643
997.312	0.40886	0.108945
998.533	0.443769	0.101523
999.753	0.477414	0.095112
1000.974	0.507	0.089511
1002.195	0.526892	0.08457
1003.415	0.545821	0.080172
1004.636	0.563871	0.076227
1005.857	0.581114	0.072665
1007.077	0.597616	0.069429
1008.298	0.613434	0.066474
1009.519	0.628621	0.063762
1010.74	0.643221	0.061263
1011.96	0.657278	0.058951
1013.181	0.670826	0.056805
1014.402	0.683899	0.054806
1015.622	0.696528	0.052939
1016.843	0.708741	0.05119
1018.064	0.720559	0.049549
1019.284	0.732008	0.048005
1020.505	0.743108	0.046549
1021.726	0.753878	0.045174
1022.947	0.764335	0.043872
1024.167	0.774495	0.042638
1025.388	0.784373	0.041467
1026.609	0.793983	0.040353
1027.829	0.803337	0.039294
1029.05	0.812448	0.038283
1030.271	0.821325	0.037318
1031.491	0.829981	0.036397
1032.712	0.838422	0.035515
1033.933	0.84666	0.034672
1035.154	0.854704	0.033863
1036.374	0.86256	0.033087
1037.595	0.870236	0.032341
1038.816	0.877738	0.031626
1040.036	0.885076	0.030937
1041.257	0.892251	0.030274
1042.478	0.899274	0.029636
1043.698	0.906147	0.029021
1044.919	0.912877	0.028428
1046.14	0.91947	0.027856
1047.361	0.925928	0.027303
1048.581	0.932259	0.026769
1049.802	0.938463	0.026253
1051.023	0.944548	0.025753
1052.243	0.950516	0.02527
1053.464	0.956371	0.024802
1054.685	0.962116	0.024349
1055.905	0.967755	0.02391
1057.126	0.973293	0.023484
1058.347	0.978729	0.02307
1059.568	0.98407	0.022669
1060.788	0.989317	0.02228
1062.009	0.994472	0.021902
1063.23	0.999539	0.021535
1064.45	1.00452	0.021178
1065.671	1.009417	0.020831
1066.892	1.014232	0.020493
1068.112	1.018969	0.020165
1069.333	1.023629	0.019845
1070.554	1.028214	0.019534
1071.775	1.032726	0.01923
1072.995	1.037167	0.018935
1074.216	1.041538	0.018647
1075.437	1.045841	0.018367
1076.657	1.05008	0.018093
1077.878	1.054254	0.017826
1079.099	1.058366	0.017565
1080.319	1.062416	0.017311
1081.54	1.066407	0.017063
1082.761	1.070339	0.016821
1083.982	1.074216	0.016585
1085.202	1.078036	0.016354
1086.423	1.081802	0.016128
1087.644	1.085515	0.015907
1088.864	1.089177	0.015692
1090.085	1.092788	0.015481
1091.306	1.096349	0.015274
1092.526	1.099863	0.015073
1093.747	1.103328	0.014875
1094.968	1.106748	0.014682
1096.189	1.110122	0.014493
1097.409	1.113452	0.014308
1098.63	1.116739	0.014127
1099.851	1.119983	0.01395
1101.071	1.123186	0.013776
1102.292	1.126347	0.013606
1103.513	1.12947	0.013439
1104.733	1.132552	0.013275
1105.954	1.135597	0.013115
1107.175	1.138604	0.012958
1108.396	1.141574	0.012804
1109.616	1.144508	0.012653
1110.837	1.147407	0.012505
1112.058	1.150271	0.012359
1113.278	1.153101	0.012217
1114.499	1.155898	0.012077
1115.72	1.158662	0.01194
1116.94	1.161394	0.011805
1118.161	1.164094	0.011673
1119.382	1.166762	0.011543
1120.603	1.169402	0.011415
1121.823	1.172011	0.01129
1123.044	1.174591	0.011167
1124.265	1.177141	0.011046
1125.485	1.179664	0.010927
1126.706	1.182159	0.010811
1127.927	1.184626	0.010696
1129.147	1.187067	0.010583
1130.368	1.189481	0.010473
1131.589	1.19187	0.010364
1132.81	1.194233	0.010257
1134.03	1.196571	0.010151
1135.251	1.198885	0.010048
1136.472	1.201174	0.009946
1137.692	1.203439	0.009846
1138.913	1.205681	0.009747
1140.134	1.2079	0.00965
1141.354	1.210097	0.009555
1142.575	1.212271	0.009461
1143.796	1.214423	0.009369
1145.017	1.216554	0.009278
1146.237	1.218663	0.009188
1147.458	1.220752	0.0091
1148.679	1.22282	0.009013
1149.899	1.224867	0.008928
1151.12	1.226896	0.008844
1152.341	1.228904	0.008761
1153.561	1.230893	0.008679
1154.782	1.232863	0.008599
1156.003	1.234814	0.008519
1157.224	1.236746	0.008442
1158.444	1.238661	0.008365
1159.665	1.240557	0.008289
1160.886	1.242436	0.008214
1162.106	1.244298	0.008141
1163.327	1.246142	0.008068
1164.548	1.24797	0.007996
1165.768	1.249781	0.007926
1166.989	1.251576	0.007857
1168.21	1.253354	0.007788
1169.431	1.255116	0.007721
1170.651	1.256863	0.007654
1171.872	1.258594	0.007588
1173.093	1.26031	0.007523
1174.313	1.262011	0.007459
1175.534	1.263697	0.007396
1176.755	1.265368	0.007334
1177.975	1.267025	0.007273
1179.196	1.268668	0.007212
1180.417	1.270296	0.007153
1181.638	1.271911	0.007094
1182.858	1.273512	0.007035
1184.079	1.2751	0.006978
1185.3	1.276674	0.006921
1186.52	1.278235	0.006865
1187.741	1.279783	0.00681
1188.962	1.281318	0.006756
1190.182	1.282841	0.006702
1191.403	1.284351	0.006649
1192.624	1.285849	0.006596
1193.845	1.287334	0.006545
1195.065	1.288808	0.006493
